Statement,,,,Result
"Says the 2018 defense authorization bill includes raises for the military ""for the first time in 10 years.""",,,,pants-fire
Trump votes for death penalty for being gay.,,,,FALSE
Eric Schneiderman helped NXIVM sell child sex slaves to the Clintons,,,,pants-fire
BREAKING: Queen Elizabeth II Dead At 94,,,,pants-fire
"Says Heidi Heitkamp ""cast the deciding vote to kill the Congressional Review Act that would have repealed a BLM flaring rule that was designed just for North Dakota.""",,,,half-true
Pope Francis: Gun owners ‘can’t call themselves Christian’,,,,pants-fire
Democrats go full tyranny: now demand nationwide gun confiscation from law-abiding Americans ... at gunpoint^ of course.,,,,FALSE
"Welders are coming out of their tech schools at $28 an hour and ""pipefitters are making six figures.""",,,,half-true
By 2022^ just the interest payment on our debt will be greater than the defense of our country.,,,,mostly-true
"Says the term ""illegal alien"" is ""a legal term^ it’s in statute^ it’s a federal term.""",,,,half-true
"Says Benito Mussolini ""initiated a campaign to 'drenare la palude' ('drain the swamp') by firing more than 35^000 civil servants.""",,,,half-true
Tammy Baldwin cosponsored legislation that wanted to establish the Department of Peace and Nonviolence.,,,,mostly-true
Melania Just Hit Donald Trump With Shocking Announcement He Never Saw Coming,,,,pants-fire
I doubled my African-American poll numbers. We went from 11 to 22 in one week.,,,,barely-true
"Says Adam Putnam ""opposed bringing troops^ putting troops on our southern border using the National Guard.""",,,,half-true
Breaking: 3 liberal celebrities arrested for conspiracy to assassinate President Trump.,,,,pants-fire
Black men arrested In Philadelphia Starbucks settle for $2 million,,,,FALSE
"Says he was ""instrumental to passing two (recent) pieces of legislation that were a huge victory for firefighters across the state.""",,,,barely-true
"President Donald Trump’s budget ""threatened to cut $2 trillion from Social Security^ Medicare and Medicaid""",,,,FALSE
Kirsten Gillibrand has put forward 331 bills since she's been in Congress. Do you know how many of them have been passed into law? Zero!,,,,half-true
Breaking: Michelle Wolf fired -- Comedy Central apologizes to Sarah Sanders.,,,,pants-fire
Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria,,,,pants-fire
Hillary Clinton killed in monster truck mishap.,,,,pants-fire
President Trump is still supported by almost 85 percent of the Republican Party in the state of Ohio^ and that's from recent polling^ and still has a 58 percent approval rating in Ohio.,,,,mostly-true
"Says Luke Messer and Todd Rokita ""voted to fast-track Obama’s trade deals.""",,,,half-true
"Says Bill Nelson ""voted against requiring Iran to recognize Israel and release American hostages.""",,,,FALSE
Says conservative mega-donor Richard Uihlein is a Wisconsin resident.,,,,FALSE
Mitch McConnell was one of the few senators that voted after Tiananmen Square not to have punitive actions against China for human rights violations.,,,,FALSE
"Says ""precisely zero terrorists^ terrorist groups or terror plots have ever been connected with the U.S.-Mexico border to do harm to people within the United States.""",,,,FALSE
I come from the poorest ZIP code in San Antonio.,,,,mostly-true
Bill Gates Outlines 2018 Plan To Depopulate The Planet.,,,,pants-fire
Breaking: Czech Republic arms citizens. You can now shoot terrorists on sight.,,,,FALSE
You know what Amazon paid in federal income taxes last year? Zero.,,,,TRUE
You (Evan Jenkins) said your philosophy was ‘progressive mainstream’ back in 2003.,,,,half-true
All the things Patrick (Morrisey) is saying — (that I supported) Hillary Clinton^ cap and trade^ Planned Parenthood — PolitiFact went through each and every allegation and said^ ‘False^ False^ False^ False.’ ,,,,half-true
"Says Beto O’Rourke had a ""resolution to legalize all narcotics--including heroin and other deadly opioids.""",,,,FALSE
In seven years that (nuclear) deal will have expired^ and Iran is free to go ahead and create nuclear weapons.,,,,FALSE
Bill Gates’ Former Doctor Says Billionaire ‘Refused To Vaccinate His Children’,,,,pants-fire
"Says George Soros has ""unloaded a whopping $1 million to install his liberal puppets in positions of power"" in Texas this fall.",,,,half-true
"Says that on the tax reform law^ Democratic leaders ""are promising to take it all away.""",,,,half-true
"Under Rahm Emanuel^ ""We’ve got tree trimmers making six figures.""",,,,mostly-true
Smallville star confesses she sold children to Rothschilds and Clintons.,,,,pants-fire
Flint still doesn’t have clean water.,,,,half-true
"Florida’s ""unemployment is at a record low.""",,,,FALSE
CNN shocks America^ fires ‘journalist’ who made fun of Sarah Sanders’ face,,,,pants-fire
We have spent $7 trillion^ trillion with a T^ $7 trillion in the Middle East.,,,,half-true
Alabama is operating government on the lowest amount of tax revenue of any state in the nation.,,,,mostly-true
"Says illegal immigration is ""costing us $130 billion a year to house and feed and give benefits to people that shouldn’t be even in the country.""",,,,barely-true
You have been selected to take part in our short survey to get 2 Free Alaska Airlines Tickets!,,,,pants-fire
I am the only one onstage who has never voted to raise your taxes. These two^ each^ a billion dollars worth of votes to raise your taxes.,,,,half-true
We have never been paid by the Trump campaign.,,,,mostly-true
"Gavin Newsom was ""the first to take on the National Rifle Association and win.""",,,,FALSE
"The nuclear deal gave Iran ""$150 billion^ giving $1.8 billion in cash — in actual cash carried out in barrels and in boxes from airplanes.""",,,,half-true
"Says Mitt Romney is using ""a million of his presidential campaign dollars to finance his Utah Senate race.""",,,,TRUE
We have laws on the books where people can walk right up to our ports of entry^ say ‘I have a credible fear of persecution^’ and we bring them in. We don’t send them back.,,,,barely-true
"Says Austin is the ""safest big city in Texas with an unemployment rate under 3% that has been named the best place to live in the entire United States two years running.""",,,,mostly-true
Kanye (West) looks and he sees black unemployment at the lowest it’s been in the history of our country. He sees Hispanic unemployment at the lowest it’s been in the history of our country. He sees (women’s unemployment) the lowest it’s been in now almost 19 years.,,,,mostly-true
"Says Florida Gov. Rick Scott ""just signed a bill that could make most of Florida’s beaches private.""",,,,barely-true
California State Assembly bill would ban the (sale of the) Bible!,,,,barely-true
"Says of disclosing his $20^000 speech about Syria^ ""there was no hiding. I released it.""",,,,half-true
I’ve cut a half a billion (dollars) out of the EPA just in the last two years. We’ve cut 3^000 jobs out of the EPA.,,,,mostly-true
"After the minimum wage for tipped workers was raised in Maine^ the state ""reversed that decision due to restaurant employees organizing en masse against the measure.""",,,,TRUE
I am still waiting for someone to produce pieces of the alleged plane that caused the Twin Towers to collapse.,,,,pants-fire
BREAKING: Nancy Pelosi to resign after new revelations.,,,,pants-fire
Obama’s Private ‘security’ Company Sets Up Massive Camps Outside 3 Major Cities.,,,,pants-fire
Black and Latino people in NYC are arrested at TEN times the rate of white people for virtually the same rate of marijuana usage.,,,,TRUE
Our campaign staff was the first to unionize in the history of politics.,,,,mostly-true
USDA approves slaughterhouses producing horse meat for human consumption,,,,barely-true
"Says that as of March 2018 compared with 2017^ ""there’s been a more than 200 percent increase in the number of people who are apprehended coming across the border. And^ I’ll tell you this^ there’s been a more than 200 percent increase in apprehension of heroin coming across the border.""",,,,barely-true
Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State,,,,pants-fire
Apply Now and Win the Canada Diversity Immigration Visa Lottery (DV-2019) Program | Live and Work in Canada.,,,,pants-fire
Most of our taxes are spent on the so-called ‘War on Terror.’,,,,FALSE
"Says the 2015 vote on the American Security Against Foreign Enemies Act ""was not a vote to deny access to the U.S.""",,,,half-true
We’ve spent more money on the military than the next 12 nations combined.,,,,mostly-true
"Says Jacky Rosen promised ""to repeal middle-class tax cut.""",,,,barely-true
Allegiant Air is rewarding everyone with 2 free plane tickets to celebrate April Aviation Week!,,,,pants-fire
Laura Ingraham just fired!!!,,,,pants-fire
Archbishop Desmond Tutu dies while holidaying in Texas,,,,pants-fire
In Mobile^ it’s something like^ 1^700 families generate 80 percent of the crime. We know who those families are.,,,,half-true
"Says Facebook shut down a ""Chick-Fil-A Appreciation Day.""",,,,half-true
"Says North Korea has ""agreed to denuclearization.""",,,,FALSE
British Intelligence Seizes Clinton Foundation Warehouse^ $400 Million In Cash.,,,,pants-fire
Right now in Ohio 200^000 people are getting opioid treatment because they have insurance under the Affordable Care Act.,,,,mostly-true
James Comey Memos just out and show clearly that there was NO COLLUSION and NO OBSTRUCTION,,,,pants-fire
Out of 860 bills (Sen. Bill Nelson has) introduced in Congress^ only 10 have passed.,,,,barely-true
Claims to be endorsed by the Democratic Party.,,,,FALSE
"Says Sen. Jon Tester ""took an income raise in the omnibus bill.""",,,,pants-fire
Clinton Email: We must destroy Syria for Israel,,,,FALSE
"Says that despite a recent increase in school funding^ Scott Walker ""has taken over a billion dollars from the public schools.""",,,,barely-true
A majority of Americans now live in states where they have decided to legalize cannabis^ including recreational and medical marijuana.,,,,TRUE
The United States has a massive trade deficit with Japan. It's anywhere from $69 billion to a $100 billion a year.,,,,half-true
X marks the spot at every HCA location where (Gov. Rick Scott) probably defrauded taxpayers.,,,,mostly-true
"In the wake of the Republican-backed tax bill^ ""more than 100^000 American workers have already been laid off in 2018.""",,,,barely-true
In Congress^ (Patrick) Morrisey wrote the health care law giving free health care to illegals.,,,,barely-true
Our bold reforms have Wisconsin’s unemployment rate down to an all-time LOW of 2.9 percent^ and the number of people working at an all-time HIGH!,,,,half-true
I think we're actually ahead on legalizing marijuana for recreational use in New York state.,,,,FALSE
"Studies show ""the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS"" and ""the entire City budget for 2018 is $8.6 billion dollars. This math does not work^ it is financially killing our city.""",,,,FALSE
Singer Celine Dion Says: ‘I Can’t Even Look At An American Flag Any More^ I Hate This Country.’,,,,pants-fire
"The ""moon has more than 250 million citizens.""",,,,pants-fire
Obama Announces Bid To Become UN Secretary General,,,,pants-fire
Fox News accidentally puts up a poll graphic that shows how they are the least trusted network.,,,,FALSE
Greitens accuser admits photo session may have been a ‘dream.’ ,,,,half-true
Red Crescent Says No Evidence of Chemical Attack in Syria’s Douma.,,,,FALSE
Here are the facts: there is no massive wave of migrants pouring into California. Overall immigrant apprehensions on the border last year were as low as they’ve been in nearly 50 years (and 85 percent of the apprehensions occurred outside of California).,,,,TRUE
On average^ American women only earn 80 cents for every dollar a man earns for doing the same job.,,,,barely-true
Luke Messer? He plotted with the Never-Trumpers to steal the nomination from President Trump.,,,,barely-true
"New York has ""among the highest tax burdens of any state in the nation""",,,,TRUE
Dying 78 year old CIA agent admits to killing Marilyn Monroe.,,,,pants-fire
"Says that in the U.S. Capitol^ ""Stephen F. Austin’s and Sam Houston’s statues"" are ""the only ones holding a rifle or a sword.""",,,,barely-true
Since 1999^ firearm deaths in Ohio have risen 58 percent.,,,,mostly-true
Rick Scott wants to destroy Social Security by privatizing it.,,,,barely-true
Congresswoman Martha McSally voted to let companies sell your internet data to the highest bidder without your consent. Then she got paid $42^000 by the very corporations she allowed to sell your personal info.,,,,barely-true
"Says that unless the recipient called back about ""your tax filings^"" you ""will be taken into custody by the local cops as there are more serious allegations pressed on your name.""",,,,pants-fire
Pope Francis cancels the Bible and proposes to create a new book.,,,,pants-fire
Hollywood actor Bruce Willis: ‘Trump is the best US president ever^ anyone who dislikes him should move to...,,,,pants-fire
"Congressional Black Caucus introduces bill to ""tax people for being white.""",,,,pants-fire
"Says ""Eric Holder and his group came in and made"" the Wisconsin Supreme Court race ""highly partisan.""",,,,barely-true
"Says Buzz Aldrin ""passes UFO lie detector test leaving experts convinced that he encountered alien life.""",,,,pants-fire
"There are ""paid protesters"" involved in the Stephon Clark demonstrations.",,,,FALSE
Walmart rewards everyone with $75 coupon to celebrate its 125th Anniversary,,,,pants-fire
Malia Obama suspended after racist anti-white attack goes viral.,,,,pants-fire
"EPA administrator Scott Pruitt's short-term rental ""was about market rate.""",,,,barely-true
"Says Scott Pruitt’s security spending was ""somewhat more"" than his predecessor.",,,,barely-true
"A recent stomach virus outbreak at the beleaguered Quincy Veterans’ Home shows Gov. Bruce Rauner ""is letting persistent health issues jeopardize the wellbeing of our nation’s heroes.""",,,,barely-true
Actress Emma Stone: ‘For the first time in history we have a president that…,,,,pants-fire
When a car is sent to the United States from China^ there is a Tariff to be paid of 2 1/2%. When a car is sent to China from the United States^ there is a Tariff to be paid of 25%.,,,,mostly-true
Nancy Pelosi vows Democrats will raise taxes if they take back the House.,,,,half-true
All Citizens Who Want to Receive Gvt Benefits Must Agree to Be Microchipped in the Near Future,,,,pants-fire
"This year’s state budget ""continues to direct millions in taxpayer dollars in advertising to the failing Start-Up NY program""",,,,FALSE
This will be the last time — April — that you’re going to (fill out) that old-fashioned^ big^ lots of pages^ complicated tax form. Because next April you’re going to^ in many cases^ (file) one page^ one card. It’s going to be very^ very different. Very^ very different.,,,,barely-true
The Coast Guard confiscated 200 tons of contraband^ heroin^ and so forth. At the border they collected 20 tons.,,,,half-true
Today^ we (in Pennsylvania) have higher unemployment and lower job growth than most.,,,,mostly-true
"The omnibus bill ""does not designate a single dollar for Planned Parenthood.""",,,,half-true
YouTube witness makes shocking admission on live TV. CNN pulls plug immediately,,,,pants-fire
In many places^ like California^ the same person votes many times. You probably heard about that. They always like to say 'oh that's a conspiracy theory.' Not a conspiracy theory^ folks. Millions and millions of people.,,,,pants-fire
There are only 18 minutes of total action in an average baseball game.,,,,mostly-true
USPS loses $1.46 each Amazon package it delivers.,,,,FALSE
Paul Ryan has blocked all action to strengthen our gun laws.,,,,barely-true
Republicans in Congress are plotting to take away Medicare^ Medicaid and Social Security.,,,,FALSE
For what it would cost the (National) Guard to make just two arrests at the border^ we could give a homeless veteran permanent housing for an entire year.,,,,mostly-true
"Says Chuck Schumer said ""it’s racist to only allow citizens to vote.""",,,,FALSE
"Rep. Robert Pittenger ""stood against funding for the border wall.""",,,,FALSE
"After attacking Emma Gonzalez^ U.S. Rep. Steve King is ""facing arrest.""",,,,FALSE
Obama secretly flees US - leaves stunning evidence behind.,,,,pants-fire
From 2000-10^ U.S. manufacturing employment shrank by a third after holding steady for 30 years.,,,,mostly-true
We’ve started building the wall.,,,,barely-true
It begins: Florida police now confiscating guns from people with no due process.,,,,FALSE
Just in the Austin MSA alone^ 150 people move here every day.,,,,mostly-true
Breaking! Terrorist attacks Trumps at Mar A Lago.,,,,FALSE
"Says Mary Taylor has a work schedule that is ""almost untraceable.""",,,,half-true
"Says Rep. Martha McSally ""is a #FlipFlopBorderHawk.""",,,,half-true
Application for March for Our Lives permit was made months before Parkland shooting,,,,pants-fire
"The census ""for years and years and years^ decades^ has asked^ ‘Are you a citizen of the United States of America?’""",,,,mostly-true
Says caravans of people are coming to cross the Mexico-U.S. border.,,,,half-true
"Mexico has ""very strong border laws -- ours are pathetic.""",,,,barely-true
Only fools^ or worse^ are saying that our money losing Post Office makes money with Amazon. THEY LOSE A FORTUNE^ and this will be changed.,,,,FALSE
1 in 100 people are sociopaths.,,,,mostly-true
"Four years after Gov. Andrew Cuomo promised universal pre-K^ ""79 percent of 4-year olds outside New York City lack full-day pre-K.""",,,,mostly-true
BREAKING: Trump Just Ended Welfare For One HUGE Group For 5 Years!,,,,FALSE
FBI RAIDS OBAMA – Find Massive Secret That Was Hidden For YEARS.,,,,FALSE
David Hogg graduated from Redondo Shores High School in 2015.,,,,pants-fire
Emma Gonzalez bullied school shooter^ isn’t sorry; then retweets message blaming ‘white boys’ entitlement’ as cause of all school shootings,,,,FALSE
Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison.,,,,pants-fire
Pennsylvania (is) the only state in the country not to tax drillers.,,,,half-true
NASA Has Just Confirmed Earth Has A New Moon,,,,FALSE
"Says U.S. Rep. Ron DeSantis ""voted in favor of food stamps for illegal immigrants.""",,,,pants-fire
"Many March for Our Lives speakers called for ""the murder of those who would not turn over their guns to the government.""",,,,pants-fire
Trey Gowdy breaks his silence after 2 of his investigators are found tortured and killed.,,,,pants-fire
"A bill in Congress ""will ban all semi-automatic weapons^ including pistols and shotguns. So^ yes^ they are coming to take away our guns.""",,,,pants-fire
"Says Supreme Court rival Michael Screnock ""is running with the Koch brothers support.""",,,,half-true
The United States is 3rd in murders throughout the world. If you remove Chicago^ Detroit^ Washington^ St. Louis and New Orleans^ the United States is then 189th out of 193 countries in the entire world.,,,,pants-fire
Ohio student suspended for staying in class during National Walkout Day,,,,half-true
Last year we lost $500 billion on trade with China.,,,,barely-true
"Says Rebecca Dallet is a ""hypocrite"" because she ""took money from attorneys with over 100 cases before her.""",,,,barely-true
"NC Republicans ""raided $58 million that was supposed to help create jobs for North Carolinians.""",,,,half-true
Homelessness has skyrocketed across California. We have the nation’s highest homelessness rate and the nation’s highest homeless population.,,,,mostly-true
Says David Hogg wasn’t at school during the Parkland school shooting.,,,,pants-fire
80% of black men in Atlanta are Homosexuals^ study says,,,,pants-fire
"A lot of Sen. Sherrod Brown’s policies ""reflect that interest in Marxism"" and a fondness for communism.",,,,FALSE
"Small businesses in West Virginia ""make up about 96 percent of our state's economy.""",,,,barely-true
Florida passes bill legalizing recreational use of marijuana.,,,,pants-fire
Says Emma Gonzalez^ a survivor of the Parkland school shooting^ ripped up a copy of the U.S. Constitution,,,,pants-fire
States that have implemented waiting periods have seen significant decreases in suicides.,,,,mostly-true
The only housing authority in the state that we have actually given money to is NYCHA.,,,,FALSE
Since taking office^ Andrew Cuomo has given massive tax breaks to corporations and the super rich.,,,,barely-true
Says 642^000 crimes were committed against Texans by criminal immigrants in a recent seven-year period.,,,,FALSE
The state is set to recapture an additional $500 million in Robin Hood payments from taxpayers and not one penny of it will go to public education in Texas.,,,,FALSE
In the Senate^ (Mike) DeWine voted with Hillary Clinton to let illegal immigrants receive Social Security. And in Ohio^ DeWine allowed illegal immigrants to receive driver's licenses.,,,,barely-true
For the sixth straight year^ we have secured record funding for K-12 and state universities.,,,,half-true
March For Our Lives is backed by radicals with a history of violent threats^ language and actions.,,,,pants-fire
"West Virginia ""has the highest overdose death rate in the nation.""",,,,TRUE
"Says Michael Screnock ""let a child predator walk without time and let a rapist who preyed on an underage girl go free after only an eight-month sentence.""",,,,mostly-true
Obama just broke federal law in attempt to take over presidency from Trump.,,,,pants-fire
In one day of fundraising I received more small donor (contributions) than Andrew Cuomo received in seven years.,,,,TRUE
It happened under Obama^ and it was lauded by the media as being genius. And now under the Trump campaign — it’s the Cambridge Analytica scandal.,,,,half-true
"Says Conor Lamb ""ran on a campaign that said very nice things about me.""",,,,FALSE
Newspapers have framed this election as my fight against the Illinois mafia.,,,,FALSE
"Robert Mueller’s investigative team has ""13 hardened Democrats^ some big Crooked Hillary supporters^ and Zero Republicans.""",,,,half-true
"Says he ""fought Obama twice and won to stop illegal immigrants from voting.""",,,,FALSE
"Says Donald ""Trump decided to *not* work with Cambridge Analytica during the election.""",,,,barely-true
Biden preparing 2020 presidential bid -- with Obama as vice president.,,,,pants-fire
California is 49th out of 50 in the United States in per capita housing units. Only Utah can lay claim to being lowest in per capita production.,,,,TRUE
"Says Rebecca Dallet ""has talked about her interest in advocating for policies that need to be changed to achieve her political objectives.""",,,,mostly-true
An all-female construction company built the Florida bridge that collapsed.,,,,pants-fire
There are no provisions in here that substantially affect or advantage the big Wall Street bankers.,,,,half-true
Say Charleston church shooter Dylann Roof was raped and beaten in prison.,,,,pants-fire
Irish superstar Saoirse Ronan dies after on-set accident in St. Lucia.,,,,pants-fire
"The default rate for college students has grown from 40 percent 10 years ago to about 50 percent today^ and ""perhaps as many as 800^000 young Ohioans are facing default on their student loans.""",,,,FALSE
Court orders Obama to pay $400 million in restitution.,,,,pants-fire
"A Trump administration proposal for the Interior Department ""is the largest investment in our public lands infrastructure in our nation's history.""",,,,FALSE
"Says he didn't take ""corporate PAC money.""",,,,mostly-true
Shoes on the Capitol lawn represent 7^182 students who were killed in U.S. schools since 2012.,,,,FALSE
Mark Harris worked to stop Trump from being president.,,,,barely-true
"Says Democratic obstruction is the reason why ""many important positions in government are unfilled.""",,,,half-true
Half of the American women who are murdered are killed by their intimate partners.,,,,TRUE
Putin issues international arrest warrant for Soros,,,,pants-fire
Research shows that 1 percent of licensed dealers supply a whopping 57 percent of the guns that are recovered in crimes.,,,,half-true
A quarter of our guns are sold outside of the background checks.,,,,barely-true
"In Japan^ ""they take a bowling ball from 20 feet up in the air and they drop it on the hood of the car. And if the hood dents^ then the car doesn't qualify...It's horrible^ the way we're treated.""",,,,FALSE
Democrats announce they will abolish ICE if they win 2020 election.,,,,FALSE
"The U.S. Supreme Court ruled that public school in the United States ""will not teach the tenets of Islam or Sharia Law.""",,,,pants-fire
We do have a Trade Deficit with Canada^ as we do with almost all countries (some of them massive).,,,,barely-true
"Says ""PTA meetings are now being conducted to help parents tell their kids"" that if a guy with an AR-15 walks into their classroom^ ""you are supposed to create as much chaos as you possibly can. They want you to scream and yell and dance around and throw books and just keep moving.""",,,,TRUE
"Says Beto O’Rourke wants ""open borders and wants to take our guns.""",,,,FALSE
"Rep. Pittenger is ""constantly rated as one of the most liberal Republicans in Congress.""",,,,FALSE
Seattle police begin gun confiscations: no laws broken^ no warrant^ no charges.,,,,FALSE
"Say Sean Hannity said in 2008 that Obama’s willingness to meet with North Korea was ""disturbing"" while Trump’s ""willingness to meet with North Korea is a huge foreign policy win.""",,,,mostly-true
Delta Airlines is offering free airline tickets for people who take a short survey,,,,pants-fire
Singer Miley Cyrus: ‘Trump fans are destroying my career^ I can’t stand them and I decided to move to…’,,,,FALSE
Trump wins the award Obama never could.,,,,pants-fire
Says China and Singapore impose the death penalty on drug dealers.,,,,TRUE
"Says that during the Supreme Court campaign^ Michael Screnock has ""vowed to uphold the platform of the NRA.""",,,,half-true
The state of California is begging us to build walls in certain areas. They don’t tell you that.,,,,pants-fire
"Says the U.S. steel and aluminum industry is ""a fraction of what it once was.""",,,,mostly-true
"Says Richard Cordray directed an Ohio commission to ""permit an armed group to have a rally on the statehouse grounds^ even taking the extraordinary step of assuming personal responsibility for waiving an insurance requirement in the event of an incident.""",,,,TRUE
"The last private rocket launch ""cost $80 million. If the government did it^ the same thing would have cost probably 40 or 50 times that amount of money. I mean^ literally.""",,,,half-true
"Says Jennifer Aniston said^ ""Me and all the Trump supporter celebrities decide to make a company named ‘celebrities for Trump’""",,,,pants-fire
"Says Sen. Tammy Baldwin ""claims to support a 'Buy America' philosophy^ but her actions speak louder than her empty words.""",,,,FALSE
The vast majority of crime that is gun related is committed by people who illegally are possessing that firearm.,,,,mostly-true
"American aluminum and steel ""are vital to our national security. ... They are the bedrock of our defense industrial base.""",,,,half-true
The Obama administration had cut $300 million from school safety.,,,,barely-true
Because of #TaxReform^ 4 million American workers have received raises and bonuses^ and 90% of Americans are seeing bigger paychecks this month.,,,,mostly-true
"The flu shot is ""designed to spread cancer.""",,,,pants-fire
When I was campaigning^ I was talking about 18 and 20 years (when) wages effectively went down. Now^ for the first time in a long time^ they're starting to go up for people.,,,,FALSE
"The Koch brothers have given Paul Ryan ""$500^000 in campaign contributions.""",,,,half-true
"California’s single-payer healthcare proposal would ""force seniors off of Medicare.""",,,,half-true
Florida is one of only 10 states that totally prohibit a (firearm) registry.,,,,mostly-true
Since 1990^ production of metals in the U.S. has held roughly constant^ but the number of people employed in the industry has fallen steadily.,,,,TRUE
China^ my understanding is^ supplies 4 percent of the steel in the U.S.,,,,mostly-true
We are last in the nation in startups — 50th.,,,,TRUE
California won’t let law enforcement officers like you and your people transfer prisoners to ICE custody or even to communicate with ICE that you’re about to release them from your custody — people that ICE is looking for.,,,,barely-true
Democrats are nowhere to be found on DACA.,,,,FALSE
Michelle Obama Just Received Life-Shattering News from the Doctor,,,,pants-fire
"Oklahoma teachers ""are the poorest paid teachers in the US^ in a state that gives nearly $500 million in tax handouts to energy companies.""",,,,mostly-true
BREAKING Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America,,,,pants-fire
When @ScottWalker told firefighters we didn’t need to worry about Act 10^ we said hell no^ we stand with working Wisconsinites everywhere.,,,,barely-true
"The 2018 Academy Awards show was the ""lowest rated Oscars in HISTORY.""",,,,TRUE
Joe Biden just confirmed that he is running for president in 2020 and it has America applauding!,,,,FALSE
"Florida’s school marshal program passed by the Florida House is the ""first-of-its kind.""",,,,barely-true
ALERT: Massive Easter Egg Recall Leaves MILLIONS Of Children In Danger- THROW THEM AWAY- They WILL Kill Your Kids.,,,,half-true
"President Donald ""Trump’s latest set of sanctions against companies and countries benefiting North Korea includes every nation but one making shipments to (North Korea). The one nation Trump exempted from his punitive ban was . . . wait for it . . . drumroll: Russia.""",,,,barely-true
Adolf Hitler confiscated all the weapons — took all the weapons^ had a registry of everybody — and then on the night of June 30^ 1934^ sent out his secret police and murdered all of his political opponents.,,,,FALSE
"Says Mike DeWine ""flip-flopped on the gun issue and has earned an F from the NRA.""",,,,mostly-true
Kushner And Wife Ivanka Trump Were Tossed Out Of The White House — And Donald Is Cutting Them Out Of His Will!,,,,pants-fire
The US has approximately 5% of the world's population and 42% of civilian gun ownership.,,,,mostly-true
"Says Keanu Reeves said^ ""For me^ Trump is the symbol of a successful man and a role model for every young American^ something that our nation was looking for for year. I don’t think that America will again have a leader like him.""",,,,pants-fire
Legendary actor Kirk Douglas dead^ 4 days before his 101st birthday.,,,,pants-fire
Electrolux^ Sweden's largest appliance maker^ has just abandoned a $250 million investment in the United States because of the steel tariffs. That is retaliation.,,,,barely-true
Who’s really behind Jeanne Ives’ campaign for governor? Mike Madigan’s corrupt insider machine. They’ve bankrolled her campaign with thousands in shady labor union cash^ turning Ives into another Madigan lackey.,,,,pants-fire
Says Texas ranks among the nation’s top five states for its high school graduation rate.,,,,TRUE
"Says abortion is ""the leading cause of death for black Americans and kills as many as 1^000 black children every day.""",,,,barely-true
Says Delta offers a discount to Planned Parenthood.,,,,FALSE
Probably one out of every two households in Oklahoma has a gun.,,,,mostly-true
"Says Florida has ""roughly 1^500 resource officers dealing with about 3^800 schools.""",,,,half-true
Says 97 percent of gun owners support universal background checks.,,,,mostly-true
Says Stephen F. Austin and James Bowie promoted slavery.,,,,TRUE
You take Pulse nightclub. If you had one person in that room that could carry a gun and knew how to use it^ it wouldn’t have happened^ or certainly to the extent that it did.,,,,FALSE
Zero percent of kids in Cairo are college-ready.,,,,FALSE
"Says Sen. Bill Nelson ""hasn’t done anything on gun safety or school safety^ and nothing on gun control.""",,,,FALSE
I'm the only candidate on this stage who has actually cut taxes.,,,,FALSE
Under N.Y. State ‘Assault Weapon’ ban 1 simple cosmetic change pictured here is difference between legal & banned,,,,TRUE
"In comparing mass shootings^ ""France had a higher casualty rate in one year than the entire two administrations of Barack Obama.""",,,,barely-true
Seventy to 80 percent of NRA members support a universal background check.,,,,mostly-true
It’s now constitutional to ban [assault weapons] in Illinois. Yet^ the Illinois General Assembly has failed to allow other cities to have that opportunity.,,,,TRUE
Under the previous administration it was … $100 to fill a car. American energy has delivered. Now it's $60. That’s $40 you have in your pocket … that you wouldn’t have.,,,,FALSE
The impending work stoppage is unlawful.,,,,TRUE
"We ""have laws on the books designed to prevent people with mental illnesses from getting firearms.""",,,,half-true
A law enforcement officer is more likely to commit a crime than a CWP (concealed weapons permit) holder.,,,,FALSE
Mass shootings went up 200 percent in the decade after the assault weapons ban expired.,,,,barely-true
So many of these shooters turn out to be communist Democrats.,,,,pants-fire
Last year^ I proposed directing more of the education budget to teacher salaries^ a move that would have resulted in an average $10^000 raise for teachers.,,,,barely-true
So many of these people that commit the mass murders end up being Democrats.,,,,pants-fire
"Says NRA head Wayne LaPierre said^ ""We believe in absolutely gun-free^ zero-tolerance^ totally safe schools. That means no guns in America’s schools. Period.""",,,,half-true
Here in Florida^ despite 14 school shootings in eight years^ we still have some of the weakest gun laws in the nation.,,,,barely-true
We have roughly between 85^000 (and) 95^000 open jobs in Wisconsin.,,,,half-true
Gov. Rick Scott made it illegal for a doctor to ask a patient if they owned a gun^ even a mental health professional. This law was so dangerous that a court had to strike it down.,,,,mostly-true
In most states^ you can buy an assault rifle with no proof of ID^ but in every state^ you need proof of ID to vote.,,,,barely-true
"Says that ""along the southern border of the U.S.^"" the government apprehends ""seven individuals a day who are either known or suspected terrorists.""",,,,pants-fire
Say David Hogg is a crisis actor.,,,,pants-fire
The majority of Georgians incarcerated in local jails have never been convicted of crime. They are simply too poor to pay their bail.,,,,half-true
"Says Gov. Rick Scott ""ended $20 million in funding for mental health care despite Florida already ranking at the bottom.""",,,,half-true
